VIN,CarYear,Color,VehBody,EngineType,Make,Miles,Odometer,Brand,VehType,LocationNum,CarType,EngineLiters,FuelType,Transmission,SaleLoc,PurchVal
1G1AL15F777226903,2007,Silver,2 Door,4 Cylinder,COBALT LT                ,117029,Accurate,CHEVROLET,Passenger,86,Compact,2.2L,Gasoline,Automatic,86,4900
5NPEU46C66H126152,2006,Silver,4 Door,4 Cylinder,SONATA GLS/LX            ,108890,Accurate,HYUNDAI,Passenger,189,Full-size,2.4L,Gasoline,Automatic,189,5700
3MEHM08Z48R665374,2008,White,4 Door,4 Cylinder,MILAN                    ,138000,Accurate,MERCURY,Passenger,360,Full-size,2.3L,Gasoline,Automatic,360,2890
1HGCP2F81AA000524,2010,Red,4 Door,4 Cylinder,ACCORD                   ,89643,Accurate,HONDA,Passenger,302,Mid-size,2.4L,Gasoline,Automatic,302,9000
2G2WC52C951325364,2005,Maroon,4 Door,8 Cylinder,GRAND PRIX               ,127806,Accurate,PONTIAC,Passenger,295,Full-size,5.3L,Gasoline,Automatic,295,4000
1B3LC46K38N256475,2008,White,4 Door,4 Cylinder,AVENGER SE               ,116597,Accurate,DODGE,Passenger,485,Mid-size,2.4L,Gasoline,Automatic,485,5300
2MEFM75W55X622850,2005,Silver,4 Door,8 Cylinder,GRAND MARQUIS LS         ,126161,Accurate,MERCURY,Passenger,457,Full-size,4.6L,Gasoline,Automatic,457,4900
1FAFP34N76W113596,2006,Aquamarine,4 Door,4 Cylinder,FOCUS ZX4                ,102493.5556,Accurate,FORD,Passenger,456,Compact,2.0L,Gasoline,Automatic,456,7300
2G1WB58K381243754,2008,Blue,4 Door,6 Cylinder,IMPALA LS                ,124527,Accurate,CHEVROLET,Passenger,261,Full-size,3.5L,Flex - Fuel,Automatic,261,4000
1G2JB12F647213087,2004,SILVER,2 Door,4 Cylinder,SUNFIRE                  ,103992,Accurate,PONTIAC,Passenger,84,Compact,2.2L,Gasoline,Automatic,84,4400
KNAGE123375134220,2007,Blue,4 Door,4 Cylinder,OPTIMA                   ,135441,Accurate,KIA,Passenger,61,Mid-size,2.4L,Gasoline,Automatic,61,2900
1N4AL11D16C201194,2006,Green,4 Door,4 Cylinder,ALTIMA S/SL              ,121958,Accurate,NISSAN,Passenger,400,Mid-size,2.5L,Gasoline,Automatic,400,4305
1D4GP25B65B159183,2005,Red,Van,4 Cylinder,CARAVAN SE               ,116829.3333,Accurate,DODGE,Truck,237,Van,2.4L,Gasoline,Automatic,237,3590
1G2ZF55B364222700,2006,GRAY,4 Door,4 Cylinder,G6 SE                    ,102568,Accurate,PONTIAC,Passenger,85,Mid-size,2.4L,Gasoline,Automatic,85,5600
1B3CB5HA4BD108474,2011,Silver,2 Door,4 Cylinder,CALIBER                  ,134595,Accurate,DODGE,Passenger,421,Mid-size,2.0L,Gasoline,Automatic,421,4160
1G4HR54K15U123836,2005,Silver,4 Door,6 Cylinder,LESABRE                  ,114684,Accurate,BUICK,Passenger,446,Full-size,3.8L,Gasoline,Automatic,446,4750
2G2WP552181145436,2008,White,4 Door,6 Cylinder,GRAND PRIX               ,121402,Accurate,PONTIAC,Passenger,470,Full-size,3.8L,Gasoline,Automatic,470,4275
1G2ZG528754175496,2005,White,4 Door,6 Cylinder,G6                       ,126559,Accurate,PONTIAC,Passenger,74,Mid-size,3.5L,Gasoline,Automatic,74,4595
1J4NF1GB8AD666089,2010,Silver,SUV,4 Cylinder,PATRIOT                  ,91892,Accurate,JEEP,Truck,382,SUV,2.4L,Gasoline,Automatic,382,6200
